payment_id,order_id,gross_amount,fee,tax,net_amount,captured_at,method,currency,settlement_id,international,source_currency,fx_rate
pay_004500,ord_004501,102441.12,2304.92,350.35,99785.85,2026-07-31T12:06:00+05:30,netbanking,INR,setl_004502,false,,
pay_001290,ord_001291,6769.00,0.00,0.00,6769.00,2026-07-03T09:22:00+05:30,upi,INR,setl_001292,false,,
pay_000467,ord_000468,718608.00,13653.55,2457.64,702496.81,2026-07-21T09:47:00+05:30,netbanking,INR,setl_000471,false,,
pay_003321,ord_003322,72561.00,0.00,0.00,72561.00,2026-07-12T18:03:00+05:30,upi,INR,setl_003324,false,,
pay_001568,ord_001569,4356.00,39.20,7.06,4309.74,2026-07-02T07:34:00+05:30,debit_card,INR,setl_001570,false,,
pay_005712,ord_005713,9872.00,0.00,0.00,9872.00,2026-07-02T14:07:00+05:30,upi,INR,setl_005714,false,,
pay_006563,ord_006564,310352.00,2793.17,502.77,307056.06,2026-07-23T20:02:00+05:30,debit_card,INR,setl_006567,false,,
pay_005291,ord_005292,8967.00,179.34,32.28,8755.38,2026-07-29T07:32:00+05:30,wallet,INR,setl_005293,false,,
pay_007032,ord_007033,64923.00,584.31,105.18,64233.51,2026-07-24T22:15:00+05:30,debit_card,INR,setl_007034,false,,
pay_006917,ord_006918,7029.00,0.00,0.00,7029.00,2026-07-24T09:23:00+05:30,upi,INR,setl_006921,false,,
pay_002634,ord_002635,672.00,13.44,2.42,656.14,2026-07-30T12:59:00+05:30,credit_card,INR,setl_002638,false,,
pay_001528,ord_001529,4348.00,0.00,0.00,4348.00,2026-07-14T14:08:00+05:30,upi,INR,setl_001531,false,,
pay_006554,ord_006555,249.00,6.23,1.12,241.65,2026-07-22T19:29:00+05:30,emi,INR,setl_006558,false,,
pay_003260,ord_003261,2720.00,51.68,9.30,2659.02,2026-07-26T18:45:00+05:30,netbanking,INR,setl_003262,false,,
pay_001877,ord_001878,1791.00,34.03,6.13,1750.84,2026-07-04T07:55:00+05:30,netbanking,INR,setl_001879,false,,
pay_004649,ord_004650,7915.00,150.39,27.07,7737.54,2026-07-17T13:16:00+05:30,netbanking,INR,setl_004651,false,,
pay_007359,ord_007360,110207.87,0.00,0.00,110207.87,2026-07-30T08:59:00+05:30,upi,INR,setl_007363,false,,
pay_003436,ord_003437,385.00,7.70,1.39,375.91,2026-07-03T15:44:00+05:30,wallet,INR,setl_003438,false,,
pay_005507,ord_005508,41247.00,0.00,0.00,41247.00,2026-07-20T22:31:00+05:30,upi,INR,setl_005509,false,,
pay_000070,ord_000071,40925.00,0.00,0.00,40925.00,2026-07-30T17:30:00+05:30,upi,INR,setl_000074,false,,
pay_006578,ord_006579,334.00,0.00,0.00,334.00,2026-07-01T07:46:00+05:30,upi,INR,setl_006580,false,,
pay_003992,ord_003993,9799.00,186.18,33.51,9579.31,2026-07-20T11:36:00+05:30,netbanking,INR,setl_003994,false,,
pay_003984,ord_003985,3354.00,0.00,0.00,3354.00,2026-07-29T19:24:00+05:30,upi,INR,setl_003986,false,,
pay_007123,ord_007124,944.00,0.00,0.00,944.00,2026-07-18T18:17:00+05:30,upi,INR,setl_007129,false,,
pay_003999,ord_004000,4656.00,93.12,16.76,4546.12,2026-07-15T10:25:00+05:30,credit_card,INR,setl_004006,false,,
pay_003803,ord_003804,676.00,0.00,0.00,676.00,2026-07-02T07:45:00+05:30,upi,INR,setl_003807,false,,
pay_005351,ord_005352,931.00,0.00,0.00,931.00,2026-07-21T09:59:00+05:30,upi,INR,setl_005353,false,,
pay_006493,ord_006494,8788.00,0.00,0.00,8788.00,2026-07-30T09:45:00+05:30,upi,INR,setl_006497,false,,
pay_005129,ord_005130,340.00,1.36,0.24,338.40,2026-07-30T15:23:00+05:30,debit_card,INR,setl_005131,false,,
pay_005306,ord_005307,9502.00,85.52,15.39,9401.09,2026-07-07T07:34:00+05:30,debit_card,INR,setl_005310,false,,
pay_002540,ord_002541,311.00,0.00,0.00,311.00,2026-07-02T11:23:00+05:30,upi,INR,setl_002544,false,,
pay_006014,ord_006015,87787.00,790.08,142.21,86854.71,2026-07-07T14:45:00+05:30,debit_card,INR,setl_006016,false,,
pay_002013,ord_002014,27444.00,247.00,44.46,27152.54,2026-07-06T18:29:00+05:30,debit_card,INR,setl_002017,false,,
pay_006450,ord_006451,1183.00,0.00,0.00,1183.00,2026-07-24T09:53:00+05:30,upi,INR,setl_006456,false,,
pay_000852,ord_000853,6257.00,0.00,0.00,6257.00,2026-07-03T21:34:00+05:30,upi,INR,setl_000854,false,,
pay_005639,ord_005640,622.00,12.44,2.24,607.32,2026-07-17T08:47:00+05:30,credit_card,INR,setl_005641,false,,
pay_003766,ord_003767,72992.00,0.00,0.00,72992.00,2026-07-31T07:50:00+05:30,upi,INR,setl_003768,false,,
pay_003197,ord_003198,501.00,2.00,0.36,498.64,2026-07-20T08:35:00+05:30,debit_card,INR,setl_003199,false,,
pay_003812,ord_003813,10046.00,0.00,0.00,10046.00,2026-07-07T19:29:00+05:30,upi,INR,setl_003819,false,,
pay_001712,ord_001713,5982.00,119.64,21.54,5840.82,2026-07-23T16:04:00+05:30,credit_card,INR,setl_001714,false,,
pay_007648,ord_007649,1605.00,30.50,5.49,1569.01,2026-07-09T07:40:00+05:30,netbanking,INR,setl_007650,false,,
pay_000726,ord_000727,396.00,7.92,1.43,386.65,2026-07-08T16:48:00+05:30,credit_card,INR,setl_000728,false,,
pay_002171,ord_002172,9727.00,0.00,0.00,9727.00,2026-07-17T07:36:00+05:30,upi,INR,setl_002175,false,,
pay_003430,ord_003431,91255.00,1825.10,328.52,89101.38,2026-07-10T11:56:00+05:30,wallet,INR,setl_003432,false,,
pay_003869,ord_003870,166077.21,0.00,0.00,166077.21,2026-07-01T12:03:00+05:30,upi,INR,setl_003873,false,,
pay_006454,ord_006455,7034.00,140.68,25.32,6868.00,2026-07-24T18:45:00+05:30,credit_card,INR,setl_006456,false,,
pay_000949,ord_000950,662586.00,13251.72,2385.31,646948.97,2026-07-18T10:45:00+05:30,credit_card,INR,setl_000951,false,,
pay_003536,ord_003537,497768.00,9955.36,1791.96,486020.68,2026-07-30T07:33:00+05:30,credit_card,INR,setl_003538,false,,
pay_000825,ord_000826,1396.00,27.92,5.03,1363.05,2026-07-10T17:20:00+05:30,wallet,INR,setl_000827,false,,
pay_000430,ord_000431,7141.00,0.00,0.00,7141.00,2026-07-24T12:23:00+05:30,upi,INR,setl_000434,false,,
pay_003585,ord_003586,7607.00,0.00,0.00,7607.00,2026-07-24T11:59:00+05:30,upi,INR,setl_003587,false,,
pay_000062,ord_000063,3403.00,0.00,0.00,3403.00,2026-07-30T19:20:00+05:30,upi,INR,setl_000064,false,,
pay_006316,ord_006317,750.00,0.00,0.00,750.00,2026-07-09T21:36:00+05:30,upi,INR,setl_006318,false,,
pay_000002,ord_000003,8513.00,0.00,0.00,8513.00,2026-11-05T14:01:00+05:30,upi,INR,setl_000004,false,,
pay_005390,ord_005391,115.00,2.19,0.39,112.42,2026-07-14T22:46:00+05:30,netbanking,INR,setl_005392,false,,
pay_000373,ord_000374,782.00,3.13,0.56,778.31,2026-07-28T16:25:00+05:30,debit_card,INR,setl_000375,false,,
pay_005136,ord_005137,507609.00,0.00,0.00,507609.00,2026-07-29T11:52:00+05:30,upi,INR,setl_005138,false,,
pay_003721,ord_003722,783.00,0.00,0.00,783.00,2026-07-03T18:12:00+05:30,upi,INR,setl_003723,false,,
pay_003961,ord_003962,789658.00,0.00,0.00,789658.00,2026-07-26T15:37:00+05:30,upi,INR,setl_003963,false,,
pay_004156,ord_004157,178437.00,1605.93,289.07,176542.00,2026-07-30T16:45:00+05:30,debit_card,INR,setl_004162,false,,
pay_005669,ord_005670,913.00,3.65,0.66,908.69,2026-07-13T10:00:00+05:30,debit_card,INR,setl_005673,false,,
pay_005610,ord_005611,5967.00,119.34,21.48,5826.18,2026-07-03T15:51:00+05:30,credit_card,INR,setl_005614,false,,
pay_005214,ord_005215,109199.76,2402.39,373.46,106423.91,2026-07-10T18:58:00+05:30,netbanking,INR,setl_005216,false,,
pay_002564,ord_002565,94848.00,0.00,0.00,94848.00,2026-07-15T23:45:00Z,upi,INR,setl_002566,false,,
pay_007794,ord_007795,63204.00,0.00,0.00,63204.00,2026-07-08T07:01:00+05:30,upi,INR,setl_007796,false,,
pay_002636,ord_002637,9273.00,185.46,33.38,9054.16,2026-07-30T11:29:00+05:30,credit_card,INR,setl_002638,false,,
pay_000081,ord_000082,43436.00,825.28,148.55,42462.17,2026-07-30T17:30:00+05:30,netbanking,INR,setl_000083,false,,
pay_004942,ord_004943,759.00,14.42,2.60,741.98,2026-07-03T14:41:00+05:30,netbanking,INR,setl_004946,false,,
pay_007069,ord_007070,94413.00,2360.33,424.86,91627.81,2026-07-07T20:33:00+05:30,amex,INR,setl_007071,false,,
pay_004461,ord_004462,769.00,0.00,0.00,769.00,2026-07-28T11:32:00+05:30,upi,INR,setl_004463,false,,
pay_000571,ord_000572,717.00,0.00,0.00,717.00,2026-07-30T07:39:00+05:30,upi,INR,setl_000573,false,,
pay_002532,ord_002533,9521.00,85.69,15.42,9419.89,2026-07-09T13:04:00+05:30,debit_card,INR,setl_002534,false,,
pay_007741,ord_007742,2833.00,25.50,4.59,2802.91,2026-07-06T07:24:00+05:30,debit_card,INR,setl_007745,false,,
pay_003734,ord_003735,267.00,1.07,0.19,265.74,2026-07-03T21:40:00+05:30,debit_card,INR,setl_003736,false,,
pay_005179,ord_005180,7772.00,0.00,0.00,7772.00,2026-07-27T07:45:00+05:30,upi,INR,setl_005185,false,,
pay_001623,ord_001624,39581.00,0.00,0.00,39581.00,2026-07-29T14:37:00+05:30,upi,INR,setl_001625,false,,
pay_000870,ord_000871,8401.00,75.61,13.61,8311.78,2026-07-18T18:43:00+05:30,debit_card,INR,setl_000872,false,,
pay_004221,ord_004222,576.00,0.00,0.00,576.00,2026-07-07T09:11:00+05:30,upi,INR,setl_004223,false,,
pay_000622,ord_000623,1101.00,0.00,0.00,1101.00,2026-07-24T19:13:00+05:30,upi,INR,setl_000626,false,,
pay_001964,ord_001965,22503.81,0.00,0.00,22503.81,2026-07-19T15:31:00+05:30,upi,INR,setl_001966,false,,
pay_002902,ord_002903,2955.00,26.60,4.79,2923.61,2026-07-02T09:01:00+05:30,debit_card,INR,setl_002904,false,,
pay_005058,ord_005059,4449.00,0.00,0.00,4449.00,2026-07-20T20:20:00+05:30,rupay_debit,INR,setl_005065,false,,
pay_007474,ord_007475,1808.00,0.00,0.00,1808.00,2026-07-14T11:16:00+05:30,upi,INR,setl_007480,false,,
pay_007073,ord_007074,3547.00,0.00,0.00,3547.00,2026-07-07T09:54:00+05:30,upi,INR,setl_007077,false,,
pay_002679,ord_002680,752.00,15.04,2.71,734.25,2026-07-02T16:17:00+05:30,wallet,INR,setl_002681,false,,
pay_003388,ord_003389,918.00,0.00,0.00,918.00,2026-07-27T18:28:00+05:30,upi,INR,setl_003390,false,,
pay_003448,ord_003449,820.00,15.58,2.80,801.62,2026-07-27T23:45:00Z,netbanking,INR,setl_003450,false,,
pay_003654,ord_003655,147.00,0.00,0.00,147.00,2026-07-22T09:44:00+05:30,upi,INR,setl_003656,false,,
pay_004074,ord_004075,6599.00,131.98,23.76,6443.26,2026-07-17T15:42:00+05:30,credit_card,INR,setl_004076,false,,
pay_003137,ord_003138,646.00,0.00,0.00,646.00,2026-07-28T13:02:00+05:30,upi,INR,setl_003141,false,,
pay_004571,ord_004572,13192.00,0.00,0.00,13192.00,2026-07-02T08:09:00+05:30,upi,INR,setl_004575,false,,
pay_000477,ord_000478,307.00,5.83,1.05,300.12,2026-07-23T14:29:00+05:30,netbanking,INR,setl_000481,false,,
pay_000516,ord_000517,74910.00,674.19,121.35,74114.46,2026-07-22T21:40:00+05:30,debit_card,INR,setl_000522,false,,
pay_004158,ord_004159,81368.00,732.31,131.82,80503.87,2026-07-30T09:47:00+05:30,debit_card,INR,setl_004162,false,,
pay_006835,ord_006836,9352.00,187.04,33.67,9131.29,2026-07-10T23:45:00Z,credit_card,INR,setl_006837,false,,
pay_007028,ord_007029,1272.00,0.00,0.00,1272.00,2026-07-24T19:11:00+05:30,upi,INR,setl_007034,false,,
pay_007276,ord_007277,73771.00,1401.65,252.30,72117.05,2026-07-29T08:14:00+05:30,netbanking,INR,setl_007278,false,,
pay_007389,ord_007390,8022.00,0.00,0.00,8022.00,2026-07-25T15:32:00+05:30,upi,INR,setl_007391,false,,
pay_003908,ord_003909,815110.00,7335.99,1320.48,806453.53,2026-07-04T07:09:00+05:30,debit_card,INR,setl_003912,false,,
pay_007764,ord_007765,9737.00,194.74,35.05,9507.21,2026-07-01T17:57:00+05:30,credit_card,INR,setl_007766,false,,
pay_001920,ord_001921,403887.00,3634.98,654.30,399597.72,2026-07-26T21:33:00+05:30,debit_card,INR,setl_001922,false,,
pay_003077,ord_003078,82356.72,1647.13,296.48,80413.11,2026-07-07T15:11:00+05:30,credit_card,INR,setl_003079,false,,
pay_005803,ord_005804,2999.00,74.98,13.50,2910.52,2026-07-04T08:59:00+05:30,emi,INR,setl_005807,false,,
pay_002418,ord_002419,54147.00,0.00,0.00,54147.00,2026-07-21T09:20:00+05:30,upi,INR,setl_002420,false,,
pay_004206,ord_004207,86864.00,0.00,0.00,86864.00,2026-07-14T07:26:00+05:30,upi,INR,setl_004208,false,,
pay_001766,ord_001767,75341.00,1506.82,271.23,73562.95,2026-07-15T22:42:00+05:30,credit_card,INR,setl_001768,false,,
pay_001046,ord_001047,8470.00,211.75,38.12,8220.13,2026-07-10T20:31:00+05:30,emi,INR,setl_001050,false,,
pay_006502,ord_006503,54662.00,0.00,0.00,54662.00,2026-07-25T10:27:00+05:30,upi,INR,setl_006508,false,,
pay_000886,ord_000887,442.00,11.05,1.99,428.96,2026-07-14T14:43:00+05:30,emi,INR,setl_000889,false,,
pay_000560,ord_000561,7356.00,0.00,0.00,7356.00,2026-07-03T14:29:00+05:30,upi,INR,setl_000562,false,,
pay_005912,ord_005913,2503.00,0.00,0.00,2503.00,2026-07-24T07:23:00+05:30,upi,INR,setl_005914,false,,
pay_006330,ord_006331,8883.00,168.78,30.38,8683.84,2026-07-30T14:23:00+05:30,netbanking,INR,setl_006332,false,,
pay_001526,ord_001527,822172.00,16443.44,2959.82,802768.74,2026-07-14T11:36:00+05:30,credit_card,INR,setl_001531,false,,
pay_002470,ord_002471,178657.00,3394.48,611.01,174651.51,2026-07-28T08:33:00+05:30,netbanking,INR,setl_002477,false,,
pay_004012,ord_004013,32232.00,0.00,0.00,32232.00,2026-07-27T10:15:00+05:30,upi,INR,setl_004014,false,,
pay_000530,ord_000531,967.00,0.00,0.00,967.00,2026-07-01T13:42:00+05:30,upi,INR,setl_000532,false,,
pay_000991,ord_000992,2532.00,0.00,0.00,2532.00,2026-07-20T12:05:00+05:30,upi,INR,setl_000993,false,,
pay_004308,ord_004309,642.00,12.84,2.31,626.85,2026-07-23T18:03:00+05:30,wallet,INR,setl_004312,false,,
pay_005257,ord_005258,7968.00,159.36,28.68,7779.96,2026-07-14T13:28:00+05:30,credit_card,INR,setl_005261,false,,
pay_002270,ord_002271,173.00,0.69,0.12,172.19,2026-07-07T10:16:00+05:30,debit_card,INR,setl_002274,false,,
pay_004631,ord_004632,8301.00,207.53,37.36,8056.11,2026-07-16T15:54:00+05:30,amex,INR,setl_004637,false,,
pay_007369,ord_007370,49918.00,948.44,170.72,48798.84,2026-07-14T14:07:00+05:30,netbanking,INR,setl_007371,false,,
pay_002213,ord_002214,5282.00,0.00,0.00,5282.00,2026-07-06T19:44:00+05:30,upi,INR,setl_002215,false,,
pay_006533,ord_006534,4391.00,0.00,0.00,4391.00,2026-07-08T21:36:00+05:30,upi,INR,setl_006535,false,,
pay_003705,ord_003706,8087.00,0.00,0.00,8087.00,2026-07-03T14:24:00+05:30,upi,INR,setl_003707,false,,
pay_000823,ord_000824,7273.00,0.00,0.00,7273.00,2026-07-10T18:54:00+05:30,upi,INR,setl_000827,false,,
pay_000117,ord_000118,4399.00,0.00,0.00,4399.00,2026-07-12T22:34:00+05:30,upi,INR,setl_000119,false,,
pay_001889,ord_001890,9673.00,193.46,34.82,9444.72,2026-07-04T11:36:00+05:30,credit_card,INR,setl_001891,false,,
pay_003652,ord_003653,862000.00,0.00,0.00,862000.00,2026-07-22T09:00:00+05:30,upi,INR,setl_003656,false,,
pay_003250,ord_003251,282500.00,0.00,0.00,282500.00,2026-07-15T15:56:00+05:30,upi,INR,setl_003252,false,,
pay_000660,ord_000661,6896.00,137.92,24.83,6733.25,2026-07-29T12:18:00+05:30,wallet,INR,setl_000662,false,,
pay_005975,ord_005976,22673.00,430.79,77.54,22164.67,2026-07-17T19:54:00+05:30,netbanking,INR,setl_005977,false,,
pay_007171,ord_007172,733.00,18.33,3.30,711.37,2026-07-06T07:33:00+05:30,emi,INR,setl_007173,false,,
pay_007018,ord_007019,41202.42,0.00,0.00,41202.42,2026-07-13T14:12:00+05:30,upi,INR,setl_007020,false,,
pay_007224,ord_007225,146.00,0.00,0.00,146.00,2026-07-20T22:01:00+05:30,upi,INR,setl_007231,false,,
pay_005582,ord_005583,45026.00,900.52,162.09,43963.39,2026-07-31T15:26:00+05:30,credit_card,INR,setl_005586,false,,
pay_007251,ord_007252,88355.00,1678.75,302.18,86374.07,2026-07-31T17:20:00+05:30,netbanking,INR,setl_007255,false,,
pay_003668,ord_003669,6678.00,166.95,30.05,6481.00,2026-07-20T10:41:00+05:30,emi,INR,setl_003670,false,,
pay_005849,ord_005850,872.00,3.49,0.63,867.88,2026-07-16T12:14:00+05:30,debit_card,INR,setl_005853,false,,
pay_000543,ord_000544,58517.00,0.00,0.00,58517.00,2026-07-22T13:30:00+05:30,upi,INR,setl_000545,false,,
pay_001074,ord_001075,123252.77,2760.86,443.71,120048.20,2026-07-24T17:40:00+05:30,wallet,INR,setl_001076,false,,
pay_005183,ord_005184,414581.00,0.00,0.00,414581.00,2026-07-27T14:42:00+05:30,upi,INR,setl_005185,false,,
pay_001513,ord_001514,4208.00,37.87,6.82,4163.31,2026-07-30T14:35:00+05:30,debit_card,INR,setl_001518,false,,
pay_001206,ord_001207,8784.00,79.06,14.23,8690.71,2026-07-07T23:45:00Z,debit_card,INR,setl_001208,false,,
pay_007569,ord_007570,850.00,3.40,0.61,845.99,2026-07-13T17:05:00+05:30,debit_card,INR,setl_007571,false,,
pay_006482,ord_006483,681.00,0.00,0.00,681.00,2026-07-30T16:48:00+05:30,upi,INR,setl_006484,false,,
pay_003714,ord_003715,736706.00,0.00,0.00,736706.00,2026-07-03T11:38:00+05:30,upi,INR,setl_003718,false,,
