line_id,value_date,narration,amount,balance,bank_ref,currency
bank_001243,2026-07-14,ACH C- BY TRANSFER-NEFT*AXIS0004812*AXISP33517498935*RAZORPAY SOFTWARE BAL 8979439 14072026,"7,905.00","2,09,53,257.69",AXIS3379254,INR
bank_006716,2026-08-04,BY TRANSFER-NEFT*AXIS0009591*AXISP05071840044*RAZORPAY SOFTWARE,"47,909.00","10,50,64,616.14",AXIS2241178,INR
bank_001345,30-07-2026,TRANSFER FROM SBINR30232097750 RAZORPAY SOFT PVT LTD REF 931919507,5235.22,22616707.94,SBI8042555,INR
bank_003849,24-07-2026,TRANSFER FROM SBINR08751584878 RAZORPAY SOFT PVT LTD REF 505516211,6946.68,64002432.67,SBI6883609,INR
bank_006259,13-07-2026,TRANSFER FROM SBINR42249242410 RAZORPAY SOFT PVT LTD REF 562243028,4596.32,99385697.86,SBI4857302,INR
bank_007052,16-07-2026,TRANSFER FROM SBINR98213358077 RAZORPAY SOFT PVT LTD REF 315435156,32701.59,109242059.48,SBI8150593,INR
bank_007873,17-07-2026,TRANSFER FROM SBINR93859036986 RAZORPAY SOFT PVT LTD REF 247594790,570.22,119686139.06,SBI3054157,INR
bank_004908,16-Jul-2026,MMT/IMPS/ICICR1342269,14079.69,80158016.17,ICICI9742873,INR
bank_001427,28-Jul-2026,MMT/IMPS/ICICR49693102701/Settlement/RAZORPAY/959822972,10338.35,24566404.52,ICICI6757079,INR
bank_001400,15-Jul-2026,MMT/IMPS/ICICR61041955166/Settlement/RAZORPAY/470722591,88229.74,24044783.52,ICICI7354259,INR
bank_002972,07-Jul-2026,MMT/IMPS/ICICR96508371778/Settlement/RAZORPAY/527352820,828.00,48226638.71,ICICI4240583,INR
bank_005991,21-Jul-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 4 BATCHES,61677.30,96056011.49,ICICI4245455,INR
bank_005224,17-07-2026,NEFT INWARD RAZORPAY SOFTWARE PRIVATE LIMITED,422122.95,84590624.84,SBI7411621,INR
bank_003916,07/07/2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 070726,"8,17,664.55","6,54,88,858.53",HDFC7120306,INR
bank_005783,07-Jul-2026,MMT/IMPS/ICICR95645460625/Settlement/RAZORPAY/751766578,3040.99,93899361.42,ICICI6630201,INR
bank_000589,2026-11-09,BY TRANSFER-NEFT*AXIS0009198*AXISP98914095426*RAZORPAY SOFTWARE,"97,538.04","1,11,74,278.63",AXIS5395896,INR
bank_002683,06-07-2026,NEFT INWARD RAZORPAY SOFTWARE PRIVATE LIMITED,734.25,42893761.88,SBI8885244,INR
bank_006839,14/07/2026,NEFT-HDFCN39906862351-RAZORPAY SOFTWARE PRIVATE LIMITED-752888937,"9,131.29","10,59,94,960.16",HDFC5657858,INR
bank_003488,07/07/2026,CMS NEFT-HDFCN60326176524-RAZORPAY SOFTWARE PRIVATE LIMITED-244090601 BAL 60413022 07072026,905.24,"5,41,53,497.56",HDFC5279116,INR
bank_006970,30-Jul-2026,BY TRF MMT/IMPS/ICICR01731056761/Settlement/RAZORPAY/640459812 BAL 28119851 30072026,658.88,108477093.00,ICICI3313453,INR
bank_004605,21/07/2026,NEFT-HDFCN40250331845-RAZORPAY SOFTWARE PRIVATE LIMITED-727785045,"5,577.14","7,45,43,899.74",HDFC3492670,INR
bank_002589,21/07/2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 4 BATCHES,"59,736.21","4,21,91,582.31",HDFC5714063,INR
bank_001872,2026-07-15,RTGS-AXISP18450595269-RAZORPAY PART 1 OF 2,"1,13,650.10","3,19,81,644.97",AXIS7180771,INR
bank_003935,09/07/2026,NEFT-HDFCN96046486665-RAZORPAY SOFTWARE PRIVATE LIMITED-151061692,"1,50,625.36","6,56,41,663.89",HDFC1674095,INR
bank_001783,03-08-2026,TRANSFER FROM SBINR35522,669169.90,31266013.63,SBI3669263,INR
bank_005847,31/07/2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 5 BATCHES,"7,99,805.18","9,53,78,598.27",HDFC2022921,INR
bank_000689,2026-07-06,BY TRANSFER-NEFT*AXIS0008532*AXISP45564901324*RAZORPAY SOFTWARE,"4,666.88","1,13,69,423.15",AXIS7264190,INR
bank_005069,22/07/2026,NEFT-HDFCN82569444767-RAZORPAY SOFTWARE PRIVATE LIMITED-942129033,"3,46,941.28","8,31,36,607.11",HDFC7310070,INR
bank_007016,04-08-2026,TRANSFER FROM SBINR56188269041 RAZORPAY SOFT PVT LTD REF 890906458,63532.45,108868981.00,SBI7752725,INR
bank_002917,06/07/2026,ACH C- NEFT-HDFCN82556647661-RAZORPAY SOFTWARE PRIVATE LIMITED-620944424 BAL 47624167 06072026,"4,684.00","4,64,11,890.94",HDFC7895736,INR
bank_006576,2026-08-14,BY TRANSFER-NEFT*AXIS0004386*AXISP66917665627*RAZORPAY SOFTWARE,"9,576.00","10,38,81,309.93",AXIS6173801,INR
bank_004247,03-Jul-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 4 BATCHES,76815.50,68755573.51,ICICI3875454,INR
bank_000310,10-07-2026,TRANSFER FROM SBINR51727509375 RAZORPAY SOFT PVT LTD REF 444428651,8562.08,6510994.46,SBI8529882,INR
bank_000618,04/08/2026,NEFT-HDFCN47863962335-RAZORPAY SOFTWARE PRIVATE LIMITED-185116890,817.00,"1,12,33,624.98",HDFC1944082,INR
bank_000556,2026-07-14,BY TRANSFER-NEFT*AXIS0005067*AXISP46542572034*RAZORPAY SOFTWARE,"1,570.00","1,09,61,216.55",AXIS4650787,INR
bank_005934,2026-07-20,BY TRANSFER-NEFT*AXIS0006335*AXISP30135718414*RAZORPAY SOFTWARE,"2,860.87","9,58,69,580.54",AXIS2751852,INR
bank_005355,24-Jul-2026,MMT/IMPS/ICICR65187760960/Settlement/RAZORPAY/606190745,931.00,86204101.40,ICICI8267295,INR
bank_002314,14-Jul-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 5 BATCHES,52722.51,39072728.57,ICICI3550198,INR
bank_000969,2026-07-06,BY TRANSFER-NEFT*AXIS0008389*AXISP76158878913*RAZORPAY SOFTWARE,"7,054.28","1,56,59,976.69",AXIS3343779,INR
bank_001760,28-Jul-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 3 BATCHES,898489.01,30596843.73,ICICI1993975,INR
bank_006055,20-Jul-2026,NEFT CR RAZORPAY SOFTWARE PVT LTD,21715.41,97181255.68,ICICI1468332,INR
bank_006290,09-Jul-2026,ACH C- MMT/IMPS/ICICR62285916649/Settlement/RAZORPAY/785562377 BAL 54615469 09072026,5604.83,99675429.01,ICICI7997288,INR
bank_000368,2026-07-21,BY TRANSFER-NEFT*AXIS0007982*AXISP71409189009*RAZORPAY SOFTWARE,"1,13,955.66","72,09,622.27",AXIS2136649,INR
bank_000156,2026-07-22,BY TRANSFER-NEFT*AXIS0007710*AXISP32473055984*RAZORPAY SOFTWARE,167.22,"28,42,643.41",AXIS1451494,INR
bank_003607,09-Jul-2026,MMT/IMPS/ICICR94310589105/Settlement/RAZORPAY/666652039,48381.65,58195027.52,ICICI7835022,INR
bank_003801,2026-07-23,BY TRANSFER-NEFT*AXIS0002816*AXISP20040509694*RAZORPAY SOFTWARE,"74,714.06","6,28,01,435.36",AXIS6272797,INR
bank_007619,16-Jul-2026,MMT/IMPS/ICICR29505881119/Settlement/RAZORPAY/156463638,187850.62,115378203.64,ICICI3171735,INR
bank_001322,13-Jul-2026,RTGS-ICICR04935985343-RAZORPAY PART 1 OF 2,136564.78,22465477.94,ICICI5609521,INR
bank_005578,10-Jul-2026,NEFT INWARD RAZORPAY SOFTWARE PRIVATE LIMITED,2681.49,90234404.68,ICICI9011437,INR
bank_001455,20/07/2026,NEFT-HDFCN74094586600-RAZORPAY SOFTWARE PRIVATE LIMITED-115420971,"7,738.94","2,45,84,985.46",HDFC8701338,INR
bank_003565,27-Jul-2026,MMT/IMPS/ICICR78806096273/Settlement/RAZORPAY/994163958,1178433.40,56564727.86,ICICI2591439,INR
bank_003953,21-Jul-2026,BY TRF MMT/IMPS/ICICR58753948437/Settlement/RAZORPAY/241671342 BAL 42221404 21072026,79372.53,65724020.91,ICICI1716818,INR
bank_003392,29-07-2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 290726,918.00,53307382.47,SBI2253790,INR
bank_007865,28-Jul-2026,NEFT INWARD RAZORPAY SOFTWARE PRIVATE LIMITED,8563.69,119685568.84,ICICI6763527,INR
bank_006900,09/11/2026,NEFT-HDFCN29686362343-RAZORPAY SOFTWARE PRIVATE LIMITED-837372001,"2,798.36","10,72,76,659.21",HDFC6395582,INR
bank_005691,20/07/2026,NEFT RETURN RVSL3915252086 BENEFICIARY ACCOUNT CLOSED,"-1,30,827.24","9,19,63,753.56",HDFC8060131,INR
bank_000514,03-08-2026,TRANSFER FROM SBINR16109212716 RAZORPAY SOFT PVT LTD REF 725087047,926478.78,10658220.63,SBI6450385,INR
bank_002211,13-Jul-2026,CMS MMT/IMPS/ICICR71405235575/Settlement/RAZORPAY/268209635 BAL 67354312 13072026,633150.00,37664852.65,ICICI1921473,INR
bank_001078,28/07/2026,NEFT-HDFCN62507558475-RAZORPAY SOFTWARE PRIVATE LIMITED-505527980,"1,20,048.20","1,78,88,504.02",HDFC5943608,INR
bank_003482,21-Jul-2026,MMT/IMPS/ICICR29606052320/Settlement/RAZORPAY/805477037,27126.00,54152592.32,ICICI8298672,INR
bank_002259,03-07-2026,NEFT RETURN RVSL7792413768 BENEFICIARY ACCOUNT CLOSED,-199246.68,38372523.87,SBI8925071,INR
bank_005409,2026-07-03,BY TRANSFER-NEFT*AXIS0002715*AXISP95759320874*RAZORPAY SOFTWARE,"8,127.75","8,83,99,383.87",AXIS7822093,INR
bank_007608,23/07/2026,NEFT-HDFCN36489776629-RAZORPAY SOFTWARE PRIVATE LIMITED-794108859,"44,785.64","11,51,34,798.13",HDFC6103626,INR
bank_001665,22/07/2026,NEFT-HDFCN46115416285-RAZORPAY SOFTWARE PRIVATE LIMITED-640734568,"1,01,877.09","2,89,29,774.13",HDFC1555885,INR
bank_002384,13/07/2026,RTGS-HDFCN02019362633-RAZORPAY PART 2 OF 2,"1,15,450.94","4,05,57,060.10",HDFC8289349,INR
bank_002468,20-Jul-2026,MMT/IMPS/ICICR76101634649/Settlement/RAZORPAY/825335978,850.44,40717604.64,ICICI2334688,INR
bank_002900,03-07-2026,TRANSFER FROM SBINR74134346188 RAZORPAY SOFT PVT LTD REF 155510293,400217.32,46395415.33,SBI4848747,INR
bank_005437,31/07/2026,NEFT-HDFCN9605509,"11,552.46","8,86,27,564.40",HDFC8900047,INR
bank_001962,31-Jul-2026,NEFT INWARD RAZORPAY SOFTWARE PRIVATE LIMITED,15107.77,33107515.92,ICICI8414258,INR
bank_003242,30/07/2026,NEFT-HDFCN04157192748-RAZORPAY SOFTWARE PRIVATE LIMITED-201204948,"35,371.00","5,14,99,129.70",HDFC1926630,INR
bank_006615,2026-07-07,BY TRANSFER-NEFT*AXIS0005820*AXISP63779415507*RAZORPAY SOFTWARE,"60,992.62","10,40,63,995.24",AXIS2428582,INR
bank_007589,05/08/2026,NEFT-HDFCN64874586579-RAZORPAY SOFTWARE PRIVATE LIMITED-270956780,865.00,"11,50,89,277.35",HDFC2314552,INR
bank_002536,13-07-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 4 BATCHES,100853.40,41879968.74,SBI3452902,INR
bank_003739,07/07/2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 6 BATCHES,"16,95,358.74","6,12,95,072.54",HDFC1322209,INR
bank_000976,03-07-2026,NEFT INWARD RAZORPAY SOFTWARE PRIVATE LIMITED,9375.03,15676406.00,SBI8445518,INR
bank_006067,2026-07-24,BY TRF BY TRANSFER-NEFT*AXIS0005063*AXISP97101584656*RAZORPAY SOFTWARE BAL 31290271 24072026,707.49,"9,73,67,869.39",AXIS5722464,INR
bank_005484,14-07-2026,TRANSFER FROM SBINR79173948202 RAZORPAY SOFT PVT LTD REF 165792610,1618.09,89189418.76,SBI1892371,INR
bank_000856,07/07/2026,NEFT-HDFCN30089578589-RAZORPAY SOFTWARE PRIVATE LIMITED-244998305,"6,257.00","1,36,33,958.35",HDFC9461478,INR
bank_000334,2026-07-31,BY TRANSFER-NEFT*AXIS0003705*AXISP14586738082*RAZORPAY SOFTWARE,620.00,"65,29,371.41",AXIS3849538,INR
bank_002811,2026-07-23,NEFT INWARD RAZORPAY SOFTWARE PRIVATE LIMITED,698.13,"4,46,31,859.46",AXIS6396373,INR
bank_006660,2026-07-06,RTGS-AXISP33010089298-RAZORPAY PART 1 OF 2,"1,31,395.27","10,47,36,454.35",AXIS2247019,INR
bank_003982,2026-07-07,ACH C- BY TRANSFER-NEFT*AXIS0007352*AXISP05378089310*RAZORPAY SOFTWARE BAL 80657808 07072026,303.00,"6,65,32,031.61",AXIS1805632,INR
bank_005516,10-07-2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 100726,842.67,89311462.43,SBI7819198,INR
bank_004766,03-08-2026,TRANSFER FROM SBINR37679262082 RAZORPAY SOFT PVT LTD REF 754655668,676.58,78141550.62,SBI4733550,INR
bank_006079,07-07-2026,NEFT RETURN RVSL4958481273 BENEFICIARY ACCOUNT CLOSED,-38309.80,97371086.56,SBI1421157,INR
bank_000169,24/07/2026,NEFT-HDFCN63466006524-RAZORPAY SOFTWARE PRIVATE LIMITED-531900527,"1,46,207.89","29,88,851.30",HDFC5116784,INR
bank_001585,29/07/2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 290726,534.46,"2,71,92,336.80",HDFC3860294,INR
bank_003771,2026-08-04,BY TRANSFER-NEFT*AXIS0009706*AXISP12864245909*RAZORPAY SOFTWARE,"80,768.63","6,15,71,390.79",AXIS5543445,INR
bank_005206,2026-07-08,BY TRANSFER-NEFT*AXIS0007954*AXISP87604217394*RAZORPAY SOFTWARE,"1,022.29","8,37,96,983.43",AXIS2438905,INR
bank_004510,16/07/2026,NEFT-HDFCN05593353300-RAZORPAY SOFTWARE PRIVATE LIMITED-475162257,"1,581.73","7,17,99,364.59",HDFC8673386,INR
bank_001628,2026-07-30,NEFT INWARD RVSL8414576811 RAZORPAY SOFTWARE,"1,03,907.81","2,79,25,145.51",AXIS5414476,INR
bank_004399,14-07-2026,TRANSFER FROM SBINR01861552847 RAZORPAY SOFT PVT LTD REF 144833992,10854.73,69662202.56,SBI6967214,INR
bank_004727,2026-07-20,NEFT CR RAZORPAY SOFTWARE PVT LTD 200726,"5,58,752.71","7,77,13,277.80",AXIS6348238,INR
bank_002268,2026-07-22,BY TRANSFER-NEFT*AXIS0008881*AXISP45493240291*RAZORPAY SOFTWARE,"6,35,946.21","3,90,08,470.08",AXIS5983023,INR
bank_007186,03-Jul-2026,MMT/IMPS/ICICR57362398949/Settlement/RAZORPAY/176019144,156229.92,110169666.01,ICICI5162201,INR
bank_000347,21/07/2026,NEFT-HDFCN77448571967-RAZORPAY SOFTWARE PRIVATE LIMITED-717434618,"5,05,809.91","70,35,181.32",HDFC3078412,INR
bank_006375,24-07-2026,TRANSFER FROM SBINR84457809212 RAZORPAY SOFT PVT LTD REF 913781809,635096.90,100854825.32,SBI3672161,INR
bank_002739,2026-07-28,RTGS CONSOLIDATED PAYOUT RAZORPAY 6 BATCHES,"5,64,022.45","4,35,67,899.27",AXIS4039275,INR
bank_006740,21-07-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 4 BATCHES,829390.80,105894006.94,SBI9314549,INR
bank_005424,06/07/2026,RTGS-HDFCN78203379780-RAZORPAY PART 1 OF 2,"1,02,776.38","8,85,13,235.56",HDFC2201836,INR
bank_003066,23/07/2026,NEFT-HDFCN35407625987-RAZORPAY SOFTWARE PRIVATE LIMITED-492138144,439.00,"4,92,61,643.45",HDFC8400171,INR
bank_004659,17/07/2026,NEFT-HDFCN89339239377-RAZORPAY SOFTWARE PRIVATE LIMITED-318146916,"1,008.00","7,49,12,713.44",HDFC7724146,INR
bank_006470,28-Jul-2026,NEFT CR RAZORPAY SOFTWARE PVT LTD,47206.46,102930315.98,ICICI6031173,INR
bank_001673,2026-07-13,BY TRANSFER-NEFT*AXIS0008230*AXISP796593,"5,483.00","2,93,61,789.96",AXIS2665789,INR
bank_000135,2026-07-14,RTGS CONSOLIDATED PAYOUT RAZORPAY 3 BATCHES,"9,682.78","27,66,403.45",AXIS4417442,INR
bank_003783,08-Jul-2026,MMT/IMPS/ICICR624946,830833.14,62402223.93,ICICI3933367,INR
bank_003150,09-11-2026,TRANSFER FROM SBINR92479626477 RAZORPAY SOFT PVT LTD REF 834151277,398.37,50121006.89,SBI8507519,INR
bank_001468,06-07-2026,TRANSFER FROM SBINR81504676767 RAZORPAY SOFT PVT LTD REF 141822764,152451.16,24737436.62,SBI8665662,INR
bank_005024,20-07-2026,CMS TRANSFER FROM SBINR06064381863 RAZORPAY SOFT PVT LTD REF 580683329 BAL 86887087 20072026,99088.00,81760552.87,SBI9208105,INR
bank_003867,2026-07-20,BY TRANSFER-NEFT*AXIS0005072*AXISP098161,"19,441.06","6,41,18,587.67",AXIS6174244,INR
bank_003623,21-Jul-2026,MMT/IMPS/ICICR07077695003/Settlement/RAZORPAY/693687957,325.14,58276713.39,ICICI4302244,INR
bank_007551,03-Jul-2026,MMT/IMPS/ICICR48007237610/Settlement/RAZORPAY/153273901,14110.40,114963466.32,ICICI2075690,INR
bank_006448,03-Jul-2026,MMT/IMPS/ICICR97814777734/Settlement/RAZORPAY/651663202,43272.21,102868563.48,ICICI4767673,INR
bank_004327,03-08-2026,TRANSFER FROM SBINR47056842953 RAZORPAY SOFT PVT LTD REF 656353261,8682.96,69329669.46,SBI9520769,INR
bank_000778,17/07/2026,RTGS-HDFCN24533003862-RAZORPAY PART 1 OF 2,"1,24,990.83","1,29,95,617.06",HDFC2356848,INR
bank_005871,03-Aug-2026,MMT/IMPS/ICICR54815459580/Settlement/RAZORPAY/955231138,118997.70,95501106.96,ICICI7142943,INR
bank_007318,24/07/2026,NEFT-HDFCN33788780541-RAZORPAY SOFTWARE PRIVATE LIMITED-454570585,"8,359.24","11,18,81,812.41",HDFC1357244,INR
bank_003922,22/07/2026,NEFT-HDFCN12083526968-RAZORPAY SOFTWARE PRIVATE LIMITED-133367850,"2,180.00","6,54,91,038.53",HDFC7155640,INR
bank_001621,30-Jul-2026,MMT/IMPS/ICICR05614694984/Settlement/RAZORPAY/953599745,19009.51,27821237.70,ICICI7433124,INR
bank_003189,16/07/2026,NEFT-HDFCN15963,"9,13,962.00","5,14,24,954.79",HDFC7024570,INR
bank_001873,2026-07-15,RTGS-AXISP18450595269-RAZORPAY PART 2 OF 2,"1,13,650.10","3,20,95,295.07",AXIS8976062,INR
bank_000202,2026-07-07,BY TRANSFER-NEFT*AXIS0004097*AXISP01546361407*RAZORPAY SOFTWARE,"8,68,452.04","49,23,617.83",AXIS9883647,INR
bank_004504,04-08-2026,TRANSFER FROM SBINR95631581900 RAZORPAY SOFT PVT LTD REF 650482555,99785.85,71797782.86,SBI3322409,INR
bank_007297,13-07-2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 130726,164.00,111854554.55,SBI6144615,INR
bank_007770,03-Jul-2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 030726,191435.70,119110412.51,ICICI6500378,INR
bank_001174,23-07-2026,TRANSFER FROM SBINR19590286617 RAZORPAY SOFT PVT LTD REF 190288550,575182.22,20663016.61,SBI5162053,INR
bank_007004,16/07/2026,INB NEFT-HDFCN00391516028-RAZORPAY SOFTWARE PRIVATE LIMITED-421005883 BAL 20156646 16072026,"1,296.00","10,88,04,999.55",HDFC3508654,INR
bank_005349,13-Jul-2026,MMT/IMPS/ICICR71847838726/Settlement/RAZORPAY/271849316,618783.62,86203170.40,ICICI3551111,INR
bank_005177,09/07/2026,NEFT-HDFCN50068527740-RAZORPAY SOFTWARE PRIVATE LIMITED-123864545,498.57,"8,37,95,033.95",HDFC5272450,INR
bank_007541,06-07-2026,TRANSFER FROM SBINR87113746214 RAZORPAY SOFT PVT LTD REF 736837274,308582.79,114935245.52,SBI8718741,INR
bank_005922,09-Jul-2026,BY TRF MMT/IMPS/ICICR71143579968/Settlement/RAZORPAY/521241058 BAL 42645413 09072026,5233.50,95685016.82,ICICI4946876,INR
bank_004883,21-07-2026,NEFT INWARD RVSL9414047607 RAZORPAY SOFTWARE,244215.39,80387208.49,SBI8845941,INR
bank_006778,2026-07-27,BY TRANSFER-NEFT*AXIS0002580*AXISP12050595239*RAZORPAY SOFTWARE,"6,550.68","10,59,57,475.39",AXIS8040176,INR
bank_007385,24/07/2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 240726,"6,138.63","11,28,73,944.15",HDFC7421431,INR
bank_002848,2026-07-07,INB BY TRANSFER-NEFT*AXIS0005585*AXISP22690828288*RAZORPAY SOFTWARE BAL 16842282 07072026,"8,31,593.00","4,54,73,542.98",AXIS3295987,INR
bank_001159,22/07/2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 6 BATCHES,"9,45,929.37","2,00,66,203.58",HDFC4939270,INR
bank_007595,21-07-2026,TRANSFER FROM SBINR53738365209 RAZORPAY SOFT PVT LTD REF 866055829,735.14,115090012.49,SBI6582133,INR
bank_007046,23/07/2026,NEFT-HDFCN28113869465-RAZORPAY SOFTWARE PRIVATE LIMITED-919785317,"1,19,769.38","10,92,09,357.89",HDFC6600751,INR
bank_004590,06-Jul-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 6 BATCHES,1688145.11,74457336.52,ICICI9755209,INR
bank_005030,03-Aug-2026,MMT/IMPS/ICICR46757426455/Settlement/RAZORPAY/262746423,55466.76,81816019.63,ICICI8646402,INR
bank_001418,16-Jul-2026,MMT/IMPS/ICICR95066492459/Settlement/RAZORPAY/488614255,510484.65,24556066.17,ICICI6038256,INR
bank_000282,2026-07-13,NEFT INWARD RVSL6836503309 RAZORPAY SOFTWARE,"94,953.33","57,39,154.45",AXIS4884024,INR
bank_002929,03-Aug-2026,MMT/IMPS/ICICR16785989145/Settlement/RAZORPAY/841802849,1545711.15,47957602.09,ICICI3933510,INR
bank_005295,2026-07-31,RTGS CONSOLIDATED PAYOUT RAZORPAY 5 BATCHES,"1,81,132.25","8,54,99,981.44",AXIS9202363,INR
bank_005955,16-07-2026,TRANSFER FROM SBINR51199102240 RAZORPAY SOFT PVT LTD REF 292607597,1296.46,95873304.69,SBI6606926,INR
bank_001165,07-Jul-2026,NEFT CR RAZORPAY SOFTWARE PVT LTD 070726,21630.81,20087834.39,ICICI2270072,INR
bank_002836,2026-07-21,NEFT RETURN RVSL1534450980 BENEFICIARY ACCOUNT CLOSED,"-1,49,082.57","4,46,41,788.89",AXIS6785088,INR
bank_006104,2026-07-30,BY TRANSFER-NEFT*AXIS0008099*AXISP66732470224*RAZORPAY SOFTWARE,"7,65,204.64","9,81,44,093.99",AXIS3913896,INR
bank_004955,14/07/2026,NEFT-HDFCN20362,739.00,"8,10,59,497.54",HDFC5760328,INR
bank_001893,07/07/2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 3 BATCHES,"20,299.93","3,21,15,595.00",HDFC5020813,INR
bank_004180,2026-07-22,NEFT INWARD RVSL8646628081 RAZORPAY SOFTWARE,"2,29,095.88","6,87,02,499.13",AXIS6948195,INR
bank_000234,07-Jul-2026,RTGS CONSOLIDATED PAYOUT RAZORPAY 6 BATCHES,509419.67,5433037.50,ICICI6912809,INR
bank_001484,30-07-2026,TRANSFER FROM SBINR25323854623 RAZORPAY SOFT PVT LTD REF 828713157,63854.00,25314250.24,SBI9661675,INR
bank_003476,16-07-2026,CMS TRANSFER FROM SBINR55687439616 RAZORPAY SOFT PVT LTD REF 675920085 BAL 88065673 16072026,308.54,54125466.32,SBI8137878,INR
bank_007308,28/07/2026,NEFT INWARD RVSL1745592044 RAZORPAY SOFTWARE,"84,117.75","11,19,57,570.92",HDFC9674651,INR
bank_002671,2026-07-21,BY TRANSFER-NEFT*AXIS0001666*AXISP66722560315*RAZORPAY SOFTWARE,"27,477.91","4,28,92,659.09",AXIS1949922,INR
bank_004028,2026-07-30,BY TRANSFER-NEFT*AXIS0008090*AXISP27350683939*RAZORPAY SOFTWARE,678.76,"6,70,95,138.62",AXIS6750343,INR
bank_000109,20/07/2026,NEFT-HDFCN80292698996-RAZORPAY SOFTWARE PRIVATE LIMITED-882298123,167.89,"27,55,899.67",HDFC8431599,INR
bank_007725,2026-08-04,BY TRANSFER-NEFT*AXIS0007235*AXISP10181192034*RAZORPAY SOFTWARE,"2,776.00","11,68,77,622.54",AXIS8532524,INR
bank_001905,06/07/2026,ACH C- NEFT-HDFCN92869247071-RAZORPAY SOFTWARE PRIVATE LIMITED-734509022 BAL 42145744 06072026,"5,881.13","3,21,31,099.13",HDFC1150438,INR
bank_006531,22-07-2026,TRANSFER FROM SBINR74957677343 RAZORPAY SOFT PVT LTD REF 852154505,920.75,103167843.49,SBI7163438,INR
bank_001111,2026-07-04,NEFT RETURN RVSL8816522348 BENEFICIARY ACCOUNT CLOSED,"-96,663.70","1,87,39,949.39",AXIS6733895,INR
